review_id,reviewer,stars,date,text
ChZDSUhNMG9nS0VJQ0FnSUQ3NE9IZ1FBEAE,Francesco Miceli,5 stars,a year ago,"Goated late night food! Service Take out Meal type Other Price per person $20–30 Food: 5 Service: 5 Atmosphere: 5

Service: Take out
Meal type: Other
Price per person: $20–30
Food: 5
Service: 5
Atmosphere: 5"
ChZDSUhNMG9nS0VJQ0FnSUM3M3NlNGZ3EAE,Jenelle Leane Velsa,5 stars,a year ago,"A long drive thru with a bunch of restaurants to choose from. Such a cool concept and service was fast and orderly! HIGHLYYY recommend the chicken karaage bowl from Shin Sen Gumi Express Food: 5 Service: 5 Atmosphere: 4

Food: 5
Service: 5
Atmosphere: 4"
ChZDSUhNMG9nS0VJQ0FnSUM3cXA2cVlREAE,Lydia,1 star,a year ago,"The bone-in chicken thighs at Detroit Pizza Depot are too salty. It's unacceptable. It's a very bad dining experience. I won't buy it again. I don't recommend it. Service Take out Meal type Other Price per person $20–30 Food: 1 Service: 4 Atmosphere: 3

Service: Take out
Meal type: Other
Price per person: $20–30
Food: 1
Service: 4
Atmosphere: 3"
ChZDSUhNMG9nS0VJQ0FnSURiMVpYdFlnEAE,NÂZSTEE,5 stars,a year ago,"Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5"
ChdDSUhNMG9nS0VJQ0FnSURidnFDbzNRRRAB,Allan Leslie,5 stars,a year ago,"I love the vibes of this place great atmosphere and better food!  A1 primetime! Service Dine in Meal type Lunch Price per person $10–20 Food: 5 Service: 5 Atmosphere: 5 Recommended dishes Chicken Wings, Shrimp Tacos Topped with Bacon Cheese and Secret Sauce

Service: Dine in
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes: Chicken Wings, Shrimp Tacos Topped with Bacon Cheese and Secret Sauce"
ChZDSUhNMG9nS0VJQ0FnSURiZ3Vycll3EAE,Leslie Warren,5 stars,a year ago,"Your Sushi Is Awesome, But I Forgot To Take Pictures Cause My Family Went Right Through Them, & I Didn't Get One; But They Said There We're Good... Where I Usually Go Give You More For 2 Orders Of Sushi ""We Usually Get 12 In Each Order Which Is 24 For 2 Orders,,, But My Fiance Didn't Like The Experience Of Getting My Food 😅 But I Will Be Back One Day Again,,, Thanks 🥰💜 Service Take out Meal type Other Price per person $10–20 Food: 5 Service: 3 Atmosphere: 3 Recommendation for vegetarians Highly recommend Vegetarian offerings Vegetarian menu or section, Clearly labeled vegetarian dishes Vegetarian options It's Very Awesome & There Regular Foods Seems Like It Is Awesome Too As Well, Cause There Was Alot Of Customers For That Time Of Nite, I Think It's Also A 24hrs I Think??!!

The Only Thing You Have To Get To Use To Is There No Person To Person Contact To Speak To Really At That Time Of Nite ""U Jus Gotta Figure It Out, Unless U Go To The.Drive Thru Window At That Time Of Nite!!! But All In All My Family Said It Was Good Lol 😁

Service: Take out
Meal type: Other
Price per person: $10–20
Food: 5
Service: 3
Atmosphere: 3
Recommendation for vegetarians: Highly recommend
Vegetarian offerings: Vegetarian menu or section, Clearly labeled vegetarian dishes
Vegetarian options: It's Very Awesome & There Regular Foods Seems Like It Is Awesome Too As Well, Cause There Was Alot Of Customers For That Time Of Nite, I Think It's Also A 24hrs I Think??!!

The Only Thing You Have To Get To Use To Is There No Person To Person Contact To Speak To Really At That Time Of Nite ""U Jus Gotta Figure It Out, Unless U Go To The.Drive Thru Window At That Time Of Nite!!! But All In All My Family Said It Was Good Lol 😁"
ChZDSUhNMG9nS0VJQ0FnSUNibWJuZ2VREAE,Brenda,5 stars,a year ago,"Wonderful new concept of multiple food offerings in one interesting location. The process was simple and food was ready for pick up in 8 minutes. I am looking forward to trying other food shops here. I will probably order prior to arrival next time so I can just drive right through. Finding a nice place to sit and eat is going to be a challenge as the area is still up and coming.
I have faith Service Take out Meal type Lunch Price per person $10–20 Food: 4 Service: 5 Atmosphere: 5 Recommended dishes Chicken Wings Parking space Somewhat difficult to find parking Parking options Free parking lot, Free street parking Parking E

Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 4
Service: 5
Atmosphere: 5
Recommended dishes: Chicken Wings
Parking space: Somewhat difficult to find parking
Parking options: Free parking lot, Free street parking
Parking: E"
ChZDSUhNMG9nS0VJQ0FnSUNiX042WWZnEAE,Pedro Ramirez,5 stars,a year ago,"Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 4"
ChdDSUhNMG9nS0VJQ0FnSUNiakxqQzJBRRAB,Azueta Lizbeth,4 stars,a year ago,"Service: Take out
Meal type: Lunch
Price per person: $10–20
Food: 5
Service: 5
Atmosphere: 5
Recommended dishes"
ChZDSUhNMG9nS0VJQ0FnSUNXbGJ6U1dnEAE,Theresa Frierson,5 stars,Edited a year ago,"Service: Take out
Meal type: Other
Food: 5
Service: 5
Atmosphere: 5"
